Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2010-2011,Perth Trades Hall Inc,PO Box 8117,,PERTH BUSINESS CENTRE,WA,6849,,Australian Labor Party (Western Australian Branch),109901,124708,0,0,0
2010-2011,Progressive Business Association Inc,PO Box 4021,,FITZROY,VIC,3065,,Australian Labor Party (Victorian Branch),1688969,1827778,234366,0,0
2010-2011,Queensland Nurses Union of Employees,GPO Box 1289,,BRISBANE,QLD,4001,,Australian Labor Party (State of Queensland),18115470,16676645,557585,0,0
2010-2011,"Queensland Services, Industrial Union of Employees",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (ALP),1709653,1444529,16939,0,0
2010-2011,SA Progressive Business Incorporated,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),508291,483490,15666,0,0
2010-2011,Scoresby City Club,PO Box 2342,,MELBOURNE,VIC,3001,,Liberal Party of Australia (Victorian Division),59497,79327,0,0,0
2010-2011,Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW,PO Box 2211,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),3070813,3211569,0,0,0
2010-2011,Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office,PO Box K230,,HAYMARKET,NSW,1240,,Australian Labor Party (ALP),16979107,17471989,955098,0,0
2010-2011,Shop Distributive & Allied Employees Association - Tasmanian Branch,72 York Street,,LAUNCESTON,TAS,7250,,Australian Labor Party (ALP),1669556,1519760,197042,0,0
2010-2011,Shop Distributive & Allied Employees Association - VIC Branch,65 Southbank Boulevard,,SOUTHBANK,VIC,3006,"Shop, Distributive & Allied Employees Association Victorian Branch",Australian Labor Party (Victorian Branch),13616430,13748501,987248,0,0
2010-2011,Shop Distributive & Allied Employees' Association NSW Branch,PO Box K230,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),861222,312952,2850,0,0
2010-2011,Shop Distributive & Allied Employees' Association of Western Australia,"5th Floor, 25 Barrack Street",,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),6629883,6193913,894844,0,0
2010-2011,Shop Distributive & Allied Employees Association South Australian Branch (Federal Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (ALP),1356093,1298925,30606,0,0
2010-2011,Shop Distributive & Allied Employees Association South Australian Branch (State Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (South Australian Branch),6481823,6696264,234117,0,0
2010-2011,Shop Distributive and Allied Employees Association (QLD Branch),PO Box 490,,SPRING HILL,QLD,4004,,Australian Labor Party (ALP),12164356,13859940,2830548,0,0
2010-2011,"Shop, Distributive & Allied Employees' Association - National",Sixth Floor,53 Queen Street,MELBOURNE,VIC,3000,,Australian Labor Party (ALP),8577475,4686895,203996,0,0
2010-2011,Sir Charles Court Foundation,PO Box 1144,,APPLECROSS,WA,6153,,Liberal Party (W.A. Division) Inc.,697217,22806,0,0,0
2010-2011,Team 200 Club,C/- Phillip McGinnes,PO Box 6127,HAWTHORN WEST,VIC,3122,,Liberal Party of Australia (Victorian Division),102797,87258,0,0,0
2010-2011,"Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br",Level 3,540 Elizabeth Street,MELBOURNE,VIC,3000,,Australian Labor Party (N.S.W. Branch),1939711,1801566,86179,0,0
2010-2011,"Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch",Level 3,540 Elizabeth St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),2289000,2197686,36555,0,0
2010-2011,The 500 Club (VIC),"L3, 104 Exhibition Street",,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),1264754,1341168,0,0,0
2010-2011,The 500 Club (WA),PO Box Z5303,St Georges Terrace,PERTH,WA,6831,,Liberal Party (W.A. Division) Inc.,628574,652253,7324,0,0
2010-2011,The Australian Workers' Union - Greater NSW Branch,PO Box 20,,GRANVILLE,NSW,2142,,Australian Labor Party (ALP),5915752,5131215,37963,0,0
2010-2011,The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch,PO Box 226,,MAYFIELD,NSW,2304,,Australian Labor Party (ALP),2374908,2092830,827808,0,0
2010-2011,The Australian Workers' Union of Employees Queensland,GPO Box 88,,BRISBANE,QLD,4001,,Australian Labor Party (State of Queensland),17280422,20647547,4785747,0,0
2010-2011,The Australian Workers' Union Victorian Branch,685 Spencer Street,,WEST MELBOURNE,VIC,3003,,Australian Labor Party (ALP),9557700,9378756,639249,0,0
2010-2011,The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia,PO Box 1455,,CANNING VALE ,WA,6970,,Australian Labor Party (Western Australian Branch),770746,572166,157244,0,189
2010-2011,The Chifley Research Centre Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),264254,287112,52324,0,0
2010-2011,The Federation of Hunting Clubs Inc,PO Box 376,,BAULKHAM HILLS,NSW,1755,,Shooters and Fishers Party,36765,39742,1980,0,0
2010-2011,The Food Preservers' Union of Western Australia Union of Workers,"5th Floor,",25 Barrack Street,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),60309,70435,5393,0,0
2010-2011,The Free Enterprise Foundation,PO Box 292,,CANBERRA,ACT,2601,,National Party of Australia; Liberal Party of Australia,1157726,1146000,0,0,0
2010-2011,The Geelong 500 Club Inc,PO Box 266,,Geelong,VIC,3220,,Liberal Party of Australia (Victorian Division),13515,36050,0,0,0
2010-2011,The Green Institute Limited,GPO Box 557,,CANBERRA,ACT,2601,,Australian Greens,84851,89413,7736,0,0
2010-2011,The Greenfields Foundation,PO Box 52,,DEAKIN WEST,ACT,2600,,Liberal Party of Australia,50013,65304,0,0,0
2010-2011,The Lady Wilson Foundation,104 Greenhill Road,,UNLEY,SA,5061,,Liberal Party of Australia (S.A. Division),4299,60,770,0,0
2010-2011,The Liberal Foundation Inc,GPO Box 20,,Adelaide,SA,5001,,Liberal Party of Australia (S.A. Division),87133,92899,0,0,0
2010-2011,The Liberal Party of Western Australia Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,Liberal Party (W.A. Division) Inc.,508540,2965425,25835,0,0
2010-2011,The Menzies Research Centre Limited,PO Box 6091,,KINGSTON,ACT,2604,,Liberal Party of Australia,634764,425726,61290,0,0
2010-2011,The Monash Club,PO Box 2688,,MOUNT WAVERLEY,VIC,3149,,Liberal Party of Australia (Victorian Division),26985,25977,0,0,0
2010-2011,The Page Research Centre Ltd,PO Box 6190,,KINGSTON,ACT,2604,,National Party of Australia,101615,58653,5340,0,0
2010-2011,The Sapphire Club,PO Box 250,,SHEPPARTON,VIC,3632,,Liberal Party of Australia (Victorian Division),28033,38352,0,0,0
2010-2011,The Sydney Small Business Club (The Warringah Club),PO Box 1387,,MONA VALE,NSW,1660,,Liberal Party of Australia,116234,157187,0,0,0
2010-2011,The United Professional Firefighters Union of Western Australia,21 View Street,,NORTH PERTH,WA,6006,,Australian Labor Party (Western Australian Branch),3282951,2391665,52058,0,0
2010-2011,The Violet Bobin Trust,28 McCarthy Drive,,CRAIGNISH,QLD,4650,,Australian Labor Party (State of Queensland),23726,30968,0,0,0
2010-2011,Transport Workers Union  VIC/TAS Branch,PO Box 203,,PORT MELBOURNE,VIC,3207,,Australian Labor Party (ALP),6781117,6809637,573063,0,0
2010-2011,Transport Workers Union (WA Branch),PO Box 191,,WELSHPOOL DC,WA,6986,,Australian Labor Party (Western Australian Branch),4170196,3999146,0,0,0
2010-2011,Transport Workers Union of Australia - Federal Council,"Level 2, 388-390 Sussex St",,SYDNEY SOUTH,NSW,2000,,Australian Labor Party (ALP),4351029,4505487,1342480,0,0
2010-2011,Transport Workers Union of Australia - NSW Branch,PO Box 54,,MOUNT DRUITT,NSW,2770,,Australian Labor Party (ACT Branch),1489167,1672243,140207,0,0
2010-2011,Transport Workers Union of Australia Queensland Branch,PO Box 452,,CANNON HILL,QLD,4170,,Australian Labor Party (ALP),3804269,4043225,0,0,0
2010-2011,Transport Workers Union of Australia SA/NT Branch,PO Box 137,,WELLAND,SA,5007,Gas Industry Sub Branch ,Australian Labor Party (South Australian Branch); Australian Labor Party (ALP),2246017,1840281,128738,0,0
2010-2011,Transport Workers Union of New South Wales,PO Box 54,,MINCHINBURY,NSW,2770,,Australian Labor Party (N.S.W. Branch),10649104,11716782,1561736,0,0
2010-2011,United Firefighters Union of Australia - ACT Branch,PO Box 907,,MITCHELL,ACT,2911,,Australian Labor Party (ACT Branch),189710,180855,0,0,0
2010-2011,United Firefighters Union of Australia Qld Branch,410 Brunswick Street,,FITZROY,VIC,3065,,Australian Labor Party (ALP),1208732,986648,13441,0,0
2010-2011,United Firefighters Union of Australia Tasmania Branch,265 Macquarie St,,HOBART,TAS,7000,,Australian Labor Party (Tasmanian Branch),271027,261821,0,0,0
2010-2011,United Firefighters Union of Australia VIC,410 Brunswick Street,,FITZROY,VIC,3065,,Australian Labor Party (Victorian Branch),3034635,2196000,175249,0,0
2010-2011,United Firefighters Union of SA Inc,PO Box 289,,TORRENSVILLE PLAZA,SA,5031,,Australian Labor Party (ALP),651291,512651,8792,0,0
2010-2011,United Workers Union,Locked Bag 9,,HAYMARKET,NSW,1240,,Australian Labor Party (ALP),66850558,65976802,1861826,0,0
2010-2011,Vapold Pty Ltd,Level 12,257 Collins Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),650449,816094,126133,0,0
2010-2011,"Western Australian Municipal, Administrative, Clerical and Services Union of Employees","PO Box 8208, Perth Business Centre",,PERTH,WA,6849,,Australian Labor Party (Western Australian Branch),96995,2524,0,0,774
2010-2011,Western Australian Prison Officers' Union of Workers,63 Railway Parade,,MT LAWLEY,WA,6050,,Australian Labor Party (Western Australian Branch),1671070,1320971,162429,0,0
2010-2011,Yarra Plenty Womens Group,PO Box 3196,,ELTHAM,VIC,3095,,Liberal Party of Australia (Victorian Division),2302,5762,1020,0,0
2010-2011,YLNP No. 1 Ltd (James Killen Foundation),235 Sandgate Road,,ALBION,QLD,4010,,Liberal National Party of Queensland,56876,98557,0,0,0
2009-2010,AADB Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),0,0,0,0,0
2009-2010,ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),130000,185324,1061167,0,0
2009-2010,Altum Pty Ltd as Trustee for Altum Property Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,6835168,6981840,5933208,0,0
2009-2010,Altum Pty Ltd as Trustee for the Altum Head Quarters Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,216669,1826260,750987,0,0
2009-2010,ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (ALP),754284,756964,217103,0,0
2009-2010,ASU Victorian Private Sector Branch,PO Box 447,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),2158279,2265082,98468,0,0
