Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2019-20,1973 Foundation Pty Ltd,GPO Box 1319,,CANBERRA,ACT,2601,,Australian Labor Party (ACT Branch),818559,1320144,829775,0,0
2019-20,281 Sandgate Road Properties Pty Ltd,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,828271,732413,7197890,0,0
2019-20,ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),62530,49026,1381009,0,0
2019-20,Altum Pty Ltd as Trustee for Altum Property Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,924076,5472664,5197517,0,0
2019-20,Altum Pty Ltd as Trustee for the Altum Head Quarters Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,1428496,1428547,0,0,0
2019-20,Animal Justice Foundation Pty Ltd,"Site 111, 3 Powell Rd",,COOGEE,WA,6166,,Animal Justice Party,60000,0,0,0,0
2019-20,ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch); Country Labor Party,1039221,1007542,43708,0,0
2019-20,ASU Victorian Private Sector Branch,PO Box 447,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),2790925,2511603,25815,0,0
2019-20,Australasian Meat Industry Employees Union - Newcastle & Northern Branch,PO Box 2263,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),1587456,1443638,32267,0,0
2019-20,Australasian Meat Industry Employees' Union - NSW Branch,62 Prospect Street,,ROSEHILL,NSW,2142,AMIEU NSW Branch,Australian Labor Party (N.S.W. Branch),1429857,1610653,109226,0,0
2019-20,Australasian Meat Industry Employees' Union - QLD Branch,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,Australian Labor Party (State of Queensland),2169310,2036226,0,0,0
2019-20,Australasian Meat Industry Employees Union SA & WA Branch,227 Henley Beach Road,,TORRENSVILLE,SA,5031,Australasian Meat Industry Employees' Union South and Western Australia Branch,Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch),752969,723670,95739,0,0
2019-20,Australasian Meat Industry Employees Union Victorian Branch,"Level 2, 62 Lygon Street",,CARLTON,VIC,3053,,Australian Labor Party (Victorian Branch),1582558,1433748,61924,0,0
2019-20,Australian Federated Union of Locomotive Employees,41 Peel Street,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),826898,614502,51813,49668,0
2019-20,Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch,PO Box 3272,,SOUTH BRISBANE,QLD,4101,Queensland Together Branch,Australian Labor Party (State of Queensland),16961229,15238963,869049,0,0
2019-20,"Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),7272568,7063800,370145,0,0
2019-20,Australian Rail Tram & Bus Industry Union SA/NT,PO Box 195,,WOODVILLE,SA,5011,,Australian Labor Party (South Australian Branch),758287,725633,0,0,0
2019-20,"Australian Rail Tram & Bus Industry Union, Queensland Branch",Level 1,457 Upper Edward Street,BRISBANE,QLD,4000,"Australian Rail, Tram and Bus Industry Union, Queensland Branch",Australian Labor Party (State of Queensland),4368019,4109912,275438,0,0
2019-20,Australian Rail Tram & Bus Union (Victorian Branch),Level 2,365 Queen St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),6963671,6250777,224618,0,0
2019-20,Australian Rail Tram and Bus Industry Union New South Wales Branch,"Level 4, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),9897120,8098194,423529,0,0
2019-20,Australian Rail Tram and Bus Industry Union Western Australian Branch,2/10 Nash Street,,PERTH,WA,6000,"Australian Rail, Tram and Bus Industry Union of Employees, West Australian Branch; Australian Rail, Tram and Bus Industry Union, West Australian PTA Branch",Australian Labor Party (Western Australian Branch),507000,523000,229000,0,0
2019-20,"Australian Rail,Tram & Bus Industry - TAS Branch",PO Box 682,,MOONAH,TAS,7009,,Australian Labor Party (Tasmanian Branch),170044,158142,0,0,0
2019-20,Australian Services Union - Victorian & Tasmanian Authorities & Services Branch,PO Box 37,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch),13944153,13420106,72657,0,0
2019-20,Australian Services Union of NSW & ACT (Services) Branch,PO Box 1865,,STRAWBERRY HILLS,NSW,2012,,Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch),7336653,6778490,289125,0,0
2019-20,Australian Services Union SA - NT Branch,PO Box 2217,,KENT TOWN,SA,5071,,Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch,3386427,3215588,92698,0,0
2019-20,Australian Services Union Western Australian Branch,PO Box 8208,,PERTH BC,WA,6849,,Australian Labor Party (Western Australian Branch),0,21920,0,0,0
2019-20,Australian Workers Union SA Branch,GPO Box 2577,,ADELAIDE,SA,5001,,Australian Labor Party (South Australian Branch),2986528,2625469,118870,0,0
2019-20,Australian Workers Union WA Branch,PO Box 8122,Perth Business Centre,PERTH,WA,6849,,Australian Labor Party (Western Australian Branch),5155885,5143878,1254905,0,0
2019-20,Automotive Food Metals Engineering Printing & Kindred Ind. Union,PO Box 160,,GRANVILLE,NSW,2142,AFMEPKIU NATIONAL COUNCIL; AFMEPKIU NSW STATE COUNCIL; AFMEPKIU VICTORIA STATE COUNCIL; AFMEPKIU QUEENSLAND STATE COUNCIL; AFMEPKIU SOUTH AUSTRALIA STATE COUNCIL; AFMEPKIU WESTERN AUSTRALIA STATE COUNCIL; AFMEPKIU TASMANIA STATE COUNCIL,Australian Labor Party (ALP); Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Country Labor Party,49442374,50942697,749188,0,0
2019-20,AWU - Australian Workers Union (Tasmanian Branch),P O Box 489,,GLENORCHY,TAS,7010,,Australian Labor Party (Tasmanian Branch),3249201,1755935,77842,0,0
2019-20,Bass 200 Club,PO Box 431,,WONTHAGGI,VIC,3995,,Liberal Party of Australia (Victorian Division),3268,266,0,0,0
2019-20,Bayside Forum,55 Marne Street,,SOUTH YARRA,VIC,3141,,Liberal Party of Australia (Victorian Division),162484,60101,142,0,0
2019-20,Bendigo 250 Club,PO Box 364,,STRAHDALE,VIC,3550,,Liberal Party of Australia (Victorian Division),270,15,0,0,0
2019-20,Berwick Ranges 500 Club,PO Box 145,,BERWICK,VIC,3806,,Liberal Party of Australia (Victorian Division),45395,16740,0,0,0
2019-20,Bunori Pty Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",5400263,4952776,2760207,0,0
2019-20,Burwood Business Network,4 Broomfield Road,,HAWTHORN EAST,VIC,3123,,Liberal Party of Australia (Victorian Division),1218,2447,0,0,0
2019-20,Business First,PO Box 35,,CHELSEA,VIC,3196,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,Canberra Labor Club Limited,PO Box 167,,Belconnen,ACT,2617,2.200 Nominees Pty Ltd; S48 Investments Pty Ltd,Australian Labor Party (ACT Branch),78035750,80408865,33104222,0,0
2019-20,Caulfield Challenge 200 Club,Suite 9ABC Level 9,443-449 Toorak Road ,TOORAK,VIC,3142,,Liberal Party of Australia (Victorian Division),24863,3744,0,0,0
2019-20,CEC Australia (Services) Pty Ltd,PO Box 376,,COBURG,VIC,3058,,Citizens Electoral Council of Australia,2444861,2421791,1699698,0,0
2019-20,CEPU - Electrical Division QLD & NT ,PO Box 3520,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch,7697538,8614272,2262777,0,0
2019-20,CEPU (T&S) NSW Branch,PO Box A1135,,SYDNEY SOUTH,NSW,2000,,Australian Labor Party (N.S.W. Branch); Country Labor Party,293328,306728,49015,0,0
2019-20,CEPU Communications Division - WA,PO Box 8354,,PERTH BC,WA,6849,,Australian Labor Party (Western Australian Branch),946189,1522027,0,0,0
2019-20,CEPU Communications Division (CWU QLD Branch),PO Box 3203,,WEST END,QLD,4101,Communication Workers Union,Australian Labor Party (State of Queensland),1467102,1476398,0,50000,0
2019-20,CEPU Communications Division SA/NT Branch,312 South Road,,RICHMOND,SA,5033,,Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch,779439,735249,42235,0,0
2019-20,"CEPU Electrical, Energy & Services Division - SA","Level 1, 87 St Vincent Street",,PORT ADELAIDE,SA,5015,,Australian Labor Party (South Australian Branch),2398224,2308816,0,0,0
2019-20,CEPU Engineering & Electrical Division WA Branch,PO Box 689,,BALCATTA,WA,6914,,Australian Labor Party (Western Australian Branch),3127875,2668850,75322,0,0
2019-20,CEPU P & T Victorian Branch,PO Box 14,,BRUNSWICK WEST,VIC,3055,,Australian Labor Party (Victorian Branch),1850164,1601712,0,0,0
2019-20,CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch),"Shop 1, 111 McEvoy Street",,ALEXANDRIA,NSW,2015,,Australian Labor Party (N.S.W. Branch); Country Labor Party,2540614,2002948,960106,50000,0
2019-20,CEPU Plumbing Division Queensland Branch,PO Box 3596,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),4591193,3658352,1812119,0,0
2019-20,CEPU Plumbing Division Victoria,52 Victoria Street,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),9424859,11258569,1399140,194000,0
2019-20,Chinese Liberals Association,PO Box 568,,CARNEGIE,VIC,3163,,Liberal Party of Australia (Victorian Division),0,550,0,0,0
2019-20,Chisholm 200 Club,"Level 3, 104 Exhibition Street",,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),6948,1057,0,0,0
2019-20,Citizens Media Group Pty Ltd,PO Box 376,,COBURG,VIC,3058,,Citizens Electoral Council of Australia,54508,54563,30756,0,0
2019-20,CLP Gifts & Legacies Pty Ltd,Post Office Box 48,95 Langton Road,HOWARD SPRINGS,NT,835,,Country Liberals (Northern Territory),48072,56023,0,0,0
2019-20,Communications Electrical Plumbing Union NSW P & T Branch,PO Box 250,,PARRAMATTA,NSW,2124,,Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch),4610461,4599791,79951,0,0
2019-20,Community and Public Sector Union (PSU Group),Level 7 191-199 Thomas Street,,HAYMARKET,NSW,2000,,Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch),48578639,33453444,1570149,0,0
2019-20,Constituent Management Services Pty Ltd,GPO Box 4558,,SYDNEY,NSW,2001,,National Party of Australia - N.S.W.,321626,155908,209649,0,0
2019-20,Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body),Locked Bag 5015,,ALEXANDRIA,NSW,2015,,Australian Labor Party (N.S.W. Branch); Country Labor Party,1178891,1251788,0,0,0
2019-20,Cormack Foundation Pty Ltd,25 St James Park Drive,,BRIGHTON,VIC,3186,,Liberal Party of Australia (Victorian Division); Liberal Party of Australia,3916044,834980,0,0,0
2019-20,Dame Pattie Menzies Liberal Foundation,Locked Bag 2,,Kings Cross,NSW,1340,,"Liberal Party of Australia, NSW Division",1,577,0,0,0
2019-20,Dunkley Blue Ribbon Club,PO Box 696,,FRANKSTON,VIC,3199,,Liberal Party of Australia (Victorian Division),166,25655,0,0,0
2019-20,Electrical Trades Union of Australia - Victoria Branch,PO Box 432,,NORTH MELBOURNE,VIC,3051,,Australian Labor Party (Victorian Branch),15401246,13828442,562627,0,0
2019-20,Electrical Trades Union of Australia NSW Branch,Level 5/370 Pitt Street,,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch); Country Labor Party,7538881,7959188,86263,0,0
2019-20,Electrical Trades Union of Employees Queensland,PO Box 3520,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch,1078237,2102350,3180641,0,0
2019-20,EMILY's List Australia,"Level 2, Queen Victoria Women's Centre",210 Lonsdale Street,MELBOURNE,VIC,3000,,Australian Labor Party (ALP); Australian Labor Party (Victorian Branch),326776,289655,0,0,0
2019-20,Endeavour 270 Club,PO Box 61,,KEILOR,VIC,3036,,Liberal Party of Australia (Victorian Division),233,675,0,0,0
2019-20,Enterprise Club,PO Box 13,,NUNAWADING,VIC,3131,,Liberal Party of Australia (Victorian Division),176,1303,0,0,0
2019-20,Enterprise West,c/o Liberal Party (Victorian Division),104 Exhibition Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,Finance Sector Union of Aust - QLD Branch,PO Box 3054,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),1607997,1607997,0,0,0
2019-20,Finance Sector Union of Aust - SA/NT Branch,Level 1,229 Greenhill Road,DULWICH,SA,5065,,Australian Labor Party (South Australian Branch),863187,863187,0,0,0
2019-20,Finance Sector Union of Australia - NSW Branch,PO Box A2442,,SYDNEY SOUTH,NSW,1235,Finance Sector Union NSW/ACT Branch,Australian Labor Party (N.S.W. Branch),3550693,3550693,0,0,0
2019-20,Finance Sector Union of Australia - VIC/TAS Branch,1/341 Queen Street,,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),3023527,3023527,0,0,0
2019-20,Finance Sector Union of Australia - WA Branch,PO Box 2602,,PERTH,WA,6001,,Australian Labor Party (Western Australian Branch),1055719,1055719,0,0,0
2019-20,Forest Hill Supporters' Club,PO Box 140,,FOREST HILL,VIC,3131,,Liberal Party of Australia (Victorian Division),15713,5933,0,0,0
2019-20,Forrest Cattle Fund Inc,PO Box 91,,CAPEL,WA,6271,,Liberal Party of Australia; Liberal Party (W.A. Division) Inc,30409,4194,33776,0,0
2019-20,Gatenby Investment Fund,GPO Box 469,,HOBART,TAS,7001,,Liberal Party of Australia - Tasmanian Division,174273,167995,1100056,0,0
2019-20,Goulburn River & Ranges 200 Club,PO Box 104,,ALEXANDRA,VIC,3714,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,Health & Community Services Union Vic No. 2 HSU,PO Box 206,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),5724192,5258520,980695,0,0
2019-20,Health Services Union NSW,Level 2,109 Pitt Street,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),25470214,26810744,433025,0,0
2019-20,Health Services Union of Victoria No.1 Branch,Level 5,222 Kingsway,SOUTH MELBOURNE,VIC,3205,,Australian Labor Party (Victorian Branch),7890425,7644390,1317449,192000,0
2019-20,Health Services Union SA Branch,Suite 46,255 Drummond St,CARLTON,VIC,3053,,Australian Labor Party (South Australian Branch),476571,588246,20659,0,0
2019-20,"Health Services Union, Tasmania Branch",PO Box 635,,NORTH HOBART,TAS,7002,,Australian Labor Party (Tasmanian Branch),4596368,4570688,214581,0,0
2019-20,Higgins 200 Club,PO Box 8050,,ARMADALE,VIC,3143,,Liberal Party of Australia (Victorian Division),66945,29404,7675,0,0
2019-20,Higgins Foundation Ltd,5 Turnbull Ave,,TOORAK,VIC,3142,,Liberal Party of Australia (Victorian Division),29028,628,0,0,0
2019-20,Independent Education Union of Australia WA Branch,PO Box 739 ,,BELMONT,WA,6104,,Australian Labor Party (Western Australian Branch),2652243,2541248,94211,0,52419
2019-20,Industrial Staff Union,160 Clarence Street,,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),43401,15576,0,0,0
2019-20,Jagajaga 200 Club,PO Box 183,,WEST HEIDELBERG,VIC,3081,,Liberal Party of Australia (Victorian Division),39,628,0,0,0
2019-20,John Curtin House Limited,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),3564137,5644051,25932,0,0
2019-20,John McEwen House Pty Ltd,PO Box 3328,,MANUKA,ACT,2603,,National Party of Australia,16000213,3728487,0,0,0
2019-20,Kew 500 Club,PO Box 3016,,COTHAM,VIC,3101,,Liberal Party of Australia (Victorian Division),19351,0,0,0,0
2019-20,Kooyong 200 Club,PO Box 1006,,CAMBERWELL,VIC,3124,,Liberal Party of Australia (Victorian Division),294486,212858,0,0,0
2019-20,Labor Holdings Pty Ltd,16 Peel St,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),6297576,5950958,0,0,0
2019-20,Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust,438 Docklands Drive,,DOCKLANDS,VIC,3008,,Australian Labor Party (Victorian Branch),3610489,3725150,5126003,0,0
2019-20,Laneway Assets Pty Ltd,PO Box 6190,,KINGSTON,ACT,2604,,National Party of Australia,600871,514755,0,30000,0
2019-20,Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust,PO Box 6190,,KINGSTON,ACT,2604,,National Party of Australia,236228,1170,0,0,0
2019-20,Liberal Asset Management (Custodians) Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",32183,24155,546451,0,0
2019-20,Liberal Club Limited,GPO Box 556,,TORRENSVILLE,SA,5031,,Liberal Party of Australia (S.A. Division),108816,82039,0,0,0
2019-20,Liberal Friends of Israel ,C/- Liberal Party of Australia (Victorian Division),12/257 Collins Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),2391,1332,0,0,0
2019-20,Liberal Properties Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",50,160,5450,0,0
2019-20,LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,1510,2145253,7252241,0,0
2019-20,LPPH Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,Liberal Party (W.A. Division) Inc.,1006,12854,0,0,0
2019-20,Macedon Speakers Club,8 Alpine Court,,SUNBURY,VIC,3429,,Liberal Party of Australia (Victorian Division),0,38,0,0,0
2019-20,Media Entertainment & Arts Alliance,PO Box 723,,STRAWBERRY HILLS,NSW,2012,Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch,Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Country Labor Party,12408119,11523110,1079903,0,0
2019-20,Mehring Books Pty Ltd,PO Box 574,,STRAWBERRY HILLS,NSW,2012,,Socialist Equality Party,279649,274562,0,0,0
2019-20,Menzies 200 Club,PO Box 583,,DONCASTER,VIC,3108,,Liberal Party of Australia (Victorian Division),1669,46366,0,0,0
2019-20,Mornington Gold,C/o 321 Main Street,,MORNINGTON,VIC,3931,,Liberal Party of Australia (Victorian Division),4695,664,0,0,0
2019-20,National Union of Workers - National Office,PO Box 343,,NORTH MELBOURNE,VIC,3051,National Union of Workers - Victorian Branch; National Union of Workers - General Branch; National Union of Workers - New South Wales Branch,Australian Labor Party (ALP); Australian Labor Party (Tasmanian Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); Australian Labor Party (South Australian Branch),13251726,11620827,6861744,0,0
2019-20,New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),17305554,17389523,682931,0,0
2019-20,North West 200 Club,PO Box 164,,Keilor East,VIC,3033,,Liberal Party of Australia (Victorian Division),0,5527,0,0,0
2019-20,Northern Territory ALP Investment Trust,GPO Box 2026,,DARWIN,NT,801,,Australian Labor Party (Northern Territory) Branch,38803,42250,117930,0,0
2019-20,One Nation Western Australia Incorporated,PO Box 3030,,CARLISLE SOUTH,WA,6101,,Australia First Party (NSW) Incorporated,6800,0,0,0,0
2019-20,OUTER EASTERN Platinum Club,253 Dorset Rd,,Boronia,VIC,3155,,Liberal Party of Australia (Victorian Division),47253,16437,0,0,0
2019-20,Parakeelia Pty Ltd,PO Box 6004,,KINGSTON,ACT,2604,,Liberal Party of Australia,754638,1097865,1351913,0,0
2019-20,Parliamentary Liberal Party Communication Committee (Victoria),321 Main St (PO Box 2000),,MORNINGTON,VIC,3931,,Liberal Party of Australia (Victorian Division),74001,24181,0,0,0
2019-20,Perth Trades Hall Inc,PO Box 8117,,PERTH BUSINESS CENTRE,WA,6849,,Australian Labor Party (Western Australian Branch),1238050,901734,1466107,0,0
2019-20,Pilliwinks Pty Ltd as Trustee National Party Foundation,"Suite 908, Level 9, 343 Little Collins Street",,MELBOURNE,VIC,3000,,National Party of Australia - Victoria,276434,270081,644303,0,0
2019-20,Progressive Business Association Inc,PO Box 4021,,FITZROY,VIC,3065,,Australian Labor Party (Victorian Branch),289486,301654,37244,22000,0
2019-20,"Queensland Services, Industrial Union of Employees",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),216971,223708,6345,0,0
2019-20,SA Progressive Business Incorporated,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),175830,139155,55,0,0
2019-20,Scoresby City Club,PO Box 2342,,MELBOURNE,VIC,3001,,Liberal Party of Australia (Victorian Division),14343,43448,0,0,0
2019-20,Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW,PO Box 2211,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch); Country Labor Party,4548225,4289644,124876,0,0
2019-20,Shop Distributive & Allied Employees Association - Tasmanian Branch,72 York Street,,LAUNCESTON,TAS,7250,,Australian Labor Party (Tasmanian Branch),2135877,1849869,167497,0,0
2019-20,Shop Distributive & Allied Employees Association - VIC Branch,65 Southbank Boulevard,,SOUTHBANK,VIC,3006,,Australian Labor Party (Victorian Branch),17537267,16017100,136420,0,0
2019-20,Shop Distributive & Allied Employees' Association NSW Branch,PO Box K230,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); Country Labor Party,21403821,20428897,852573,0,0
2019-20,Shop Distributive & Allied Employees' Association of Western Australia,"5th Floor, 25 Barrack Street",,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),10124120,8446449,378989,0,0
2019-20,Shop Distributive & Allied Employees Association South Australian Branch (Federal Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (Northern Territory) Branch,1877202,1775724,7120,0,0
2019-20,Shop Distributive & Allied Employees Association South Australian Branch (State Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (South Australian Branch),8955409,10037797,359950,0,0
2019-20,Shop Distributive and Allied Employees Association (QLD Branch),PO Box 490,,SPRING HILL,QLD,4004,,Australian Labor Party (State of Queensland),13522647,12334848,1798977,0,0
2019-20,"Shop, Distributive & Allied Employees' Association - National",Sixth Floor,53 Queen Street,MELBOURNE,VIC,3000,,Australian Labor Party (ALP),11261165,10282650,399385,0,0
2019-20,Sir Charles Court Foundation,PO Box 1144,,APPLECROSS,WA,6153,SCCF WA Pty Ltd,Liberal Party (W.A. Division) Inc.,21691,30847,0,0,0
2019-20,The 500 Club (WA),PO Box Z5303,St Georges Terrace,PERTH,WA,6831,,Liberal Party (W.A. Division) Inc,306060,271822,3826,0,0
2019-20,The Australian Workers' Union NSW Branch,PO Box 20,,GRANVILLE,NSW,2142,,Australian Labor Party (N.S.W. Branch); Country Labor Party,10050445,9099917,688232,0,0
2019-20,The Australian Workers' Union of Employees Queensland,GPO Box 88,,BRISBANE,QLD,4001,,Australian Labor Party (State of Queensland),12273579,12243651,3180189,0,0
2019-20,The Australian Workers' Union Victorian Branch,685 Spencer Street,,WEST MELBOURNE,VIC,3003,,Australian Labor Party (Victorian Branch),9789133,9246058,1335220,0,0
2019-20,The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia,PO Box 1455,,CANNING VALE ,WA,6970,,Australian Labor Party (Western Australian Branch),131112,270024,490,0,0
2019-20,The Chifley Research Centre Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),455267,349986,9228,267036,0
2019-20,The Federation of Hunting Clubs Inc,PO Box 376,,BAULKHAM HILLS,NSW,1755,,"Shooters, Fishers and Farmers Party",66969,50407,0,0,0
2019-20,The Flux Foundation,406/58-60 King Street,,NEWTOWN,NSW,2042,,VOTEFLUX.ORG | Upgrade Democracy!,1957,400,0,0,0
2019-20,The Free Enterprise Foundation,PO Box 292,,CANBERRA,ACT,2601,,Liberal Party of Australia; National Party of Australia,0,0,0,0,0
2019-20,The Geelong 500 Club Inc,PO Box 266,,Geelong,VIC,3220,,Liberal Party of Australia (Victorian Division); National Party of Australia - Victoria; Liberal Party of Australia,2694,1093,0,0,0
2019-20,The Green Institute Limited,GPO Box 557,,CANBERRA,ACT,2601,,Australian Greens,393979,216580,0,90780,0
2019-20,The Greenfields Foundation,PO Box 52,,DEAKIN WEST,ACT,2600,,Liberal Party of Australia,75004,102935,0,0,0
2019-20,The Lady Wilson Foundation,104 Greenhill Road,,UNLEY,SA,5061,,Liberal Party of Australia (S.A. Division),5556,1073,0,0,0
2019-20,The Lakeside 200 Club,C/- The Liberal Party (Victorian Division) ,"Level 3, 104 Exhibition Street",MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,The Liberal Foundation Inc,GPO Box 20,,Adelaide,SA,5001,,Liberal Party of Australia (S.A. Division),56292,24110,0,0,0
2019-20,The Liberal Party of Western Australia Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,Liberal Party (W.A. Division) Inc.,1275688,245904,3003,0,0
2019-20,The Menzies Research Centre Limited,PO Box 6091,,KINGSTON,ACT,2604,,Liberal Party of Australia,1198405,1155168,174371,267036,0
2019-20,The Nepean Club,P.O. Box 159,,SORRENTO,VIC,3943,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,The Page Research Centre Ltd,PO Box 6190,,KINGSTON,ACT,2604,,National Party of Australia,139308,102842,29402,129030,0
2019-20,The Pinnacle Club,Level 3,104 Exhibition Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),117484,43386,0,0,0
2019-20,The Sapphire Club,PO Box 250,,SHEPPARTON,VIC,3632,,Liberal Party of Australia (Victorian Division),9218,6104,0,0,0
2019-20,The Sydney Small Business Club (The Warringah Club),PO Box 1387,,MONA VALE,NSW,1660,,Liberal Party of Australia,0,120,0,0,0
2019-20,The United Professional Firefighters Union of Western Australia,21 View Street,,NORTH PERTH,WA,6006,,Australian Labor Party (Western Australian Branch),1780067,2215507,33397,0,0
2019-20,The Victoria Club,"L12, 257 Collins Street",,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2019-20,The Violet Bobin Trust,28 McCarthy Drive,,CRAIGNISH,QLD,4650,,Australian Labor Party (State of Queensland),19822,26810,0,0,0
2019-20,Transport Workers Union  VIC/TAS Branch,PO Box 203,,PORT MELBOURNE,VIC,3207,,Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch),8598467,7184953,517152,0,0
