"Financial Year","ClientFileId","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2018-19","40684","Voices for Farrer Inc.","22 518 368 857","","Barooga Park","105 Seppelts Road","BAROOGA","NSW","3644","","21148","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","0","N/A","N/A","N/A","N/A","N/A","0"
"2017-18","37388","350 Australia","46 138 155 192","138 155 192","Suite 8","50 Reservoir Street","SURRY HILLS","NSW","2010","","4708","0","0","0","0","4708","0"
"2017-18","33017","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","351371","8804","86318","203387","0","52862","0"
"2017-18","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","0","0","0","0","0","0","0"
"2017-18","38540","ANIMALS AUSTRALIA ","65 016 845 767","617 080 387","37 O'Connell Street","","NORTH MELBOURNE","VIC","3051","","2467532","0","2270402","0","0","197130","0"
"2017-18","30236","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","0","0","0","0","0","0","0"
"2017-18","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","60538","8938","0","0","0","51600","0"
"2017-18","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","191213","0","0","0","109562","81651","0"
"2017-18","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","10710469","136913","211862","8758219","208636","1394839","7089618"
"2017-18","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","719725","25840","427222","13200","92047","161416","0"
"2017-18","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","0","0","0","0","0","0","0"
"2017-18","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","500000","500000","0","0","0","0","0"
"2017-18","38542","Australian Nursing & Midwifery Federation","41816898298","","Level 1, 365 Queen Street","","MELBOURNE","VIC","3000","","524733","252","35217","0","0","489264","0"
"2017-18","38543","Australian Nursing and Midwifery Federation SA","95969485175","","191 Torrens Rd","","RIDLEYTON","SA","5008","","112806","0","0","0","0","112806","0"
"2017-18","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2017-18","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2017-18","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","Suite 5","60 Leicester Street","Carlton ","VIC","3053","","70130","0","56960","0","0","13170","0"
"2017-18","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","154977","0","154977","0","0","0","0"
