"Financial Year","ClientFileId","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2015-16","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141 329 302","PO Box 12995","","GEORGE STREET","QLD","4003","","66747","0","789","0","0","65958","0"
"2015-16","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2015-16","36517","Environment Victoria","84495053605","","Level 2 60 Leicester St","","CARLTON","VIC","3053","","19108","8181","4327","0","6600","0","0"
"2015-16","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","10081186","6448657","1119422","559137","238618","1715352","345840"
"2015-16","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","53406","46150","0","0","7147","109","0"
"2015-16","37151","LET Australia Ltd","90123147240","123 147 240","PO Box 10944","","BRISBANE","QLD","4000","","2481797","0","1115066","1310601","56130","0","0"
"2015-16","22293","Master Builders Association of Western Australia","83590927922","","PO Box 167","","WEST PERTH","WA","6872","","56685","0","0","0","0","56685","0"
"2015-16","23060","Master Builders Australia Ltd","68137130182","137130182","PO Box 7170","","YARRALUMLA","ACT","2600","","226583","0","185266","41317","0","0","0"
"2015-16","27919","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","789706","0","334164","235542","0","220000","0"
"2015-16","29555","National Civic Council","19622993989","","PO Box 251","","BALWYN","VIC","3103","","46905","25587","0","21318","0","0","0"
"2015-16","33260","National Tertiary Education Union (NTEU)","38579396344","","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","290047","220683","64689","0","4675","0","0"
"2015-16","19171","National Union of Workers - National Office","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","56632","50576","5706","0","350","0","0"
"2015-16","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","95 571 805 442","","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","21131","0","21131","0","0","0","0"
"2015-16","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","1993963","22166","510564","1399363","61870","0","0"
"2015-16","37320","One Community SA","80 608 416 348","","PO Box 31","","GREENACRES","SA","5086","","351329","0","227567","123762","0","0","0"
"2015-16","5310","Queensland Council of Unions (QCU)","43 109 318 638","","Level 5","16 Peel Street","SOUTH BRISBANE","QLD","4101","","71390","134","4584","0","3297","63375","0"
"2015-16","220","Queensland Nurses and Midwives' Union","","","106 Victoria Street","","WEST END","QLD","4101","","240191","0","76191","55000","0","109000","0"
"2015-16","20649","Queensland Teachers Union of Employees","62408519861","","PO Box 1750","","MILTON","QLD","4064","","304699","0","0","121000","3505","180194","0"
"2015-16","4457","Royal Australian College of General Practitioners","34000223807","000 223 807","100 Wellington Parade","","EAS MELBOURNE","VIC","3002","","429782","0","10570","419212","0","0","0"
"2015-16","37123","SA Road Transport Association","","","PO Box 2420","","REGENCY PARK","SA","5942","","150000","0","0","150000","0","0","100000"
"2015-16","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","23294","0","0","14022","1067","8205","0"
"2015-16","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2015-16","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","56842","0","0","0","56842","0","0"
"2015-16","18825","Shop, Distributive & Allied Employees' Association - National","99789302470","","Sixth Floor","53 Queen Street","MELBOURNE","VIC","3000","","57343","57343","0","0","0","0","0"
"2015-16","36762","Smart Energy Council (previously Australian Solar Council)","32006824148","","34 Anderson Street","","CHIFLEY","ACT","2606","","36000","0","36000","0","0","0","36000"
"2015-16","19898","The Food Preservers' Union of Western Australia Union of Workers","77 930 063 279","","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2015-16","36747","The Oaktree Foundation Australia","39129680584","129 680 584","Level 3","33 Lincoln Square South","CARLTON","VIC","3053","","34689","0","8262","0","0","26427","0"
"2015-16","20623","The Wilderness Society Limited","18 611 229 086","611 229 086","132 Davey Street","","HOBART","TAS","7000","","50545","0","20342","0","5000","25203","24750"
"2015-16","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2015-16","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","186077","117800","68277","0","0","0","0"
"2015-16","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","676747","16391","56671","36745","5372","561568","0"
"2015-16","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","1647017","0","1105812","476705","64500","0","5000000"
"2015-16","34243","World Vision Australia","","","1 Vision Drive","","BURWOOD EAST","VIC","3151","","215505","0","178465","0","6500","30540","215505"
"2015-16","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","354389","0","230161","121728","0","2500","0"
"2014-15","33017","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","89473","0","75042","0","0","14431","0"
"2014-15","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","21487","0","21487","0","0","0","0"
"2014-15","30236","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","24070","0","0","0","0","24070","0"
"2014-15","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","0","0","0","0","0","0","0"
"2014-15","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","2165198","191761","25013","1664855","269031","14538","4411903"
"2014-15","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","151844","31286","78790","1893","39875","0","0"
"2014-15","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","129374","0","129374","0","0","0","0"
"2014-15","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","201170","201170","0","0","0","0","0"
"2014-15","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2014-15","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2014-15","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","88972","0","88972","0","0","0","0"
"2014-15","20652","CEPU Plumbing Division Queensland Branch","51 918 867 235","","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2014-15","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","145796","145796","0","0","0","0","0"
"2014-15","14311","CFMEU - Construction & General Division, National Office","46243168565","","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","22657","0","22475","182","0","0","0"
"2014-15","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2014-15","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","10570345","0","515976","1362399","362502","8329468","307185"
"2014-15","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","28592","22692","0","0","5900","0","0"
"2014-15","22730","Health Services Union - National Office","68 243 768 561","","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2014-15","20280","Media Entertainment & Arts Alliance","84054775598","","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","0","0","0","0","0","0","0"
"2014-15","19171","National Union of Workers - National Office","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2014-15","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","95 571 805 442","","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","13460","0","13460","0","0","0","0"
"2014-15","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2014-15","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","13171","13171","0","0","0","0","0"
"2014-15","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2014-15","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2014-15","18778","Shop Distributive and Allied Employees Association (QLD Branch)","99 903 328 518","","PO Box 490","","SPRING HILL","QLD","4004","","0","0","0","0","0","0","0"
"2014-15","21861","The Climate Institute","26 116 713 592","116 713 592","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","25310","0","0","25310","0","0","0"
"2014-15","19898","The Food Preservers' Union of Western Australia Union of Workers","77 930 063 279","","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2014-15","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2014-15","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","1212","1212","0","0","0","0","0"
"2014-15","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","240276","115304","119432","0","5540","0","0"
"2014-15","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","510279","0","254650","254650","979","0","0"
"2014-15","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","432566","0","432566","0","0","0","235000"
"2013-14","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","22851","0","22851","0","0","0","0"
"2013-14","30236","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","21773","0","0","0","0","21773","0"
"2013-14","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","100862","19448","0","0","21450","59964","150000"
"2013-14","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","91429","0","56402","0","116","34911","0"
"2013-14","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","5572219","32832","109198","4720699","267314","442176","4544166"
"2013-14","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","1332368","24035","383165","828688","96480","0","0"
"2013-14","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","465804","0","146565","0","0","319239","0"
"2013-14","19028","Australian Federated Union of Locomotive Employees","60694355298","","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2013-14","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","251170","251170","0","0","0","0","0"
"2013-14","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2013-14","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2013-14","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","1131638","0","994842","0","230","136566","0"
"2013-14","20652","CEPU Plumbing Division Queensland Branch","51 918 867 235","","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2013-14","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","78127","78127","0","0","0","0","0"
"2013-14","14311","CFMEU - Construction & General Division, National Office","46243168565","","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","25196","0","24678","518","0","0","0"
"2013-14","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2013-14","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","6831419","0","847333","1504178","1275","4478633","115620"
"2013-14","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","53641","53641","0","0","0","0","0"
"2013-14","22730","Health Services Union - National Office","68 243 768 561","","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2013-14","20280","Media Entertainment & Arts Alliance","84054775598","","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","412836","23158","389678","0","0","0","0"
"2013-14","33260","National Tertiary Education Union (NTEU)","38579396344","","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","1031409","99931","92775","790319","30394","17990","0"
"2013-14","19171","National Union of Workers - National Office","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","185662","4177","68619","0","47325","65541","0"
"2013-14","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","95 571 805 442","","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","71979","0","63569","0","0","8410","0"
"2013-14","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","1733717","0","25140","1682177","26400","0","0"
"2013-14","20649","Queensland Teachers Union of Employees","62408519861","","PO Box 1750","","MILTON","QLD","4064","","39929","0","0","0","0","39929","0"
"2013-14","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2013-14","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","93131","77035","0","0","16096","0","0"
"2013-14","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2013-14","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","23056","0","456","0","22600","0","0"
"2013-14","18778","Shop Distributive and Allied Employees Association (QLD Branch)","99 903 328 518","","PO Box 490","","SPRING HILL","QLD","4004","","90646","16042","0","0","0","74604","0"
"2013-14","21861","The Climate Institute","26 116 713 592","116 713 592","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","81700","9650","27500","5900","38650","0","220000"
"2013-14","19898","The Food Preservers' Union of Western Australia Union of Workers","77 930 063 279","","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2013-14","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2013-14","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","103266","33266","28200","0","41800","0","0"
"2013-14","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","627982","207284","165998","0","67815","186885","0"
"2013-14","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","2488506","0","26520","2423751","38235","0","5000000"
"2013-14","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","741683","0","695373","0","46310","0","1371000"
"2012-13","33017","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","918682","0","107243","641337","0","170102","0"
"2012-13","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","19354","0","19354","0","0","0","0"
"2012-13","30236","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","1123131","173971","26214","729333","64694","128919","1499997"
"2012-13","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","30081","0","9561","0","18450","2070","0"
"2012-13","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","929850","68550","791790","0","21323","48187","3749302"
"2012-13","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","6209465","18174","1030037","5026453","134801","0","0"
"2012-13","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","101790","0","101790","0","0","0","0"
"2012-13","19028","Australian Federated Union of Locomotive Employees","60694355298","","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2012-13","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","255897","255897","0","0","0","0","0"
"2012-13","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2012-13","9184","Australian Trucking Association Ltd","25055583714","","Minter Ellison Building","25 National Circuit","FORREST","ACT","2603","","37352","0","10040","0","11304","16008","77000"
"2012-13","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","13637","0","13637","0","0","0","0"
"2012-13","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","251463","0","251235","0","228","0","0"
"2012-13","32998","Campaign for Small Business Pty Ltd","","","PO Box 6005","","KINGSTON","ACT","2604","","870286","0","495469","374817","0","0","0"
"2012-13","20652","CEPU Plumbing Division Queensland Branch","51 918 867 235","","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2012-13","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","100551","48055","0","0","52496","0","0"
"2012-13","14311","CFMEU - Construction & General Division, National Office","46243168565","","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","32958","0","32420","538","0","0","0"
"2012-13","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141 329 302","PO Box 12995","","GEORGE STREET","QLD","4003","","221780","0","6422","213159","0","2199","0"
"2012-13","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2012-13","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","3035260","0","223673","213782","4070","2593735","40000"
"2012-13","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","78274","78274","0","0","0","0","0"
"2012-13","22730","Health Services Union - National Office","68 243 768 561","","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2012-13","28787","Imperial Tobacco Australia","46088148681","088 148 681","4-8 Inglewood Place","","BAULKHAM HILLS","NSW","2153","","54479","0","54479","0","0","0","0"
"2012-13","20280","Media Entertainment & Arts Alliance","84054775598","","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","300722","22019","278703","0","0","0","0"
"2012-13","27919","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","1794303","0","449450","1344853","0","0","0"
"2012-13","19171","National Union of Workers - National Office","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","43908","0","605","0","0","43303","0"
"2012-13","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","95 571 805 442","","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","20236","0","20236","0","0","0","0"
"2012-13","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","45848","0","0","27522","18326","0","0"
"2012-13","20516","NSW Business Chamber Limited","63000014504 ","000 014 504","140 Arthur Street","","NORTH SYDNEY","NSW","2060","","773228","0","157448","99000","0","516780","0"
"2012-13","10094","Philip Morris Limited","65004694428","","Level 5,30 Convention Centre Place","","SOUTH WHARF","VIC","3006","","49741","30382","5103","0","14256","0","0"
"2012-13","220","Queensland Nurses and Midwives' Union","","","106 Victoria Street","","WEST END","QLD","4101","","350173","350173","0","0","0","0","0"
"2012-13","20649","Queensland Teachers Union of Employees","62408519861","","PO Box 1750","","MILTON","QLD","4064","","121684","0","0","0","0","121684","0"
"2012-13","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2012-13","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","65 Southbank Boulevard","","SOUTHBANK","VIC","3006","","0","0","0","0","0","0","0"
"2012-13","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2012-13","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2012-13","18778","Shop Distributive and Allied Employees Association (QLD Branch)","99 903 328 518","","PO Box 490","","SPRING HILL","QLD","4004","","0","0","0","0","0","0","0"
"2012-13","21861","The Climate Institute","26 116 713 592","116 713 592","Level 15, 179 Elizabeth St","","Sydney","NSW","2000","","27250","0","0","0","27250","0","0"
"2012-13","19898","The Food Preservers' Union of Western Australia Union of Workers","77 930 063 279","","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2012-13","20623","The Wilderness Society Limited","18 611 229 086","611 229 086","132 Davey Street","","HOBART","TAS","7000","","25186","0","25186","0","0","0","0"
"2012-13","19917","Transport Workers Union of Australia SA/NT Branch","31 199 452 868","","PO Box 137","","WELLAND","SA","5007","","0","0","0","0","0","0","0"
"2012-13","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2012-13","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","26996","17320","1716","0","7960","0","0"
"2012-13","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","1099114","344375","142204","593479","15449","3607","0"
"2012-13","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","4753519","0","126043","4528976","98500","0","0"
"2011-12","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","60105","0","28755","0","31350","0","60105"
"2011-12","28665","Association of Mining and Exploration Companies","33 362 864 696","","PO Box 948","","WEST PERTH","WA","6872","","256989","0","256989","0","0","0","0"
"2011-12","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","0","0","0","0","0","0","0"
"2011-12","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","424131","0","0","27500","361940","34691","102721"
"2011-12","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","1795697","0","214341","1464756","116600","0","0"
"2011-12","19028","Australian Federated Union of Locomotive Employees","60694355298","","41 Peel Street","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2011-12","30292","Australian Trade & Industry Alliance Pty Ltd","","151 856 674","GPO Box 240","","CANBERRA","ACT","2601","","9261234","0","1725074","7536160","0","0","0"
"2011-12","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2011-12","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","96868","0","96650","0","218","0","0"
"2011-12","18748","CEPU - Electrical Division QLD & NT ","80450640455","","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","20652","CEPU Plumbing Division Queensland Branch","51 918 867 235","","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2011-12","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","41537","41537","0","0","0","0","0"
"2011-12","14311","CFMEU - Construction & General Division, National Office","46243168565","","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","24846","0","23881","965","0","0","0"
"2011-12","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141 329 302","PO Box 12995","","GEORGE STREET","QLD","4003","","71500","0","0","0","0","71500","0"
"2011-12","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2011-12","18760","Electrical Trades Union of Employees Queensland","71584779039","","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","14950","0","14950","0","0","0","0"
"2011-12","30317","Gaming Technologies Association Limited","70 060 130 770","","Level 34","50 Bridge Street","SYDNEY","NSW","2000","","780592","0","155219","555883","69490","0","0"
"2011-12","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","1782718","0","368349","500601","22409","891359","60000"
"2011-12","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","55474","35331","0","0","20143","0","0"
"2011-12","22730","Health Services Union - National Office","68 243 768 561","","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2011-12","28787","Imperial Tobacco Australia","46088148681","088 148 681","4-8 Inglewood Place","","BAULKHAM HILLS","NSW","2153","","40292","0","40292","0","0","0","0"
"2011-12","20280","Media Entertainment & Arts Alliance","84054775598","","PO Box 723","","STRAWBERRY HILLS","NSW","2012","","181252","16719","164533","0","0","0","0"
"2011-12","27919","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","792262","0","72366","719896","0","0","0"
