"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Party Group","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits"
"2019-20","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","1374791","1172670","40922","21224"
"2019-20","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","27758","16358","0","0"
"2019-20","Australian Affordable Housing Party","1/212 Liverpool Road","","ASHFIELD","NSW","2131","","1700","211","0","0"
"2019-20","Australian Better Families","PO Box 3831","","ROBINA TOWN CENTRE","QLD","4230","","15126","15572","0","0"
"2019-20","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","226615","175768","0","0"
"2019-20","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","2147894","2085858","966128","0"
"2019-20","Australian Democrats","PO Box 547","","GLENELG","SA","5045","","27089","5475","0","0"
"2019-20","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","8278","5395","0","0"
"2019-20","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","3014557","3732322","399035","272353"
"2019-20","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","307384","285476","18435","0"
"2019-20","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","548828","358854","64651","0"
"2019-20","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","93624","22873","0","0"
"2019-20","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","446938","195347","9777","0"
"2019-20","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","2180478","1700672","631635","0"
"2019-20","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","9376356","8301257","2894840","1163605"
"2019-20","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","13936682","13959838","300359","0"
"2019-20","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","1028273","950512","256452","0"
"2019-20","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","2050346","1790746","3814","0"
"2019-20","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","7781123","8165192","159058","0"
"2019-20","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","873161","514985","8093","0"
"2019-20","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","9558911","4861584","160713","0"
"2019-20","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","3923462","2724794","130026","0"
"2019-20","Australian People's Party","PO Box 5382","","PINEWOOD","VIC","3149","","0","0","0","0"
"2019-20","Australian Progressives","24B Harpur Place","","GARRAN","ACT","2605","","5345","3767","21290","0"
"2019-20","Australian Workers Party","P.O Box 4062","","WINMALEE","NSW","2777","","0","0","0","0"
"2019-20","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","169927","75675","0","0"
"2019-20","Child Protection Party","PO Box 582","","ELIZABETH","SA","5112","","81","276","0","0"
"2019-20","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","1310397","685697","0","0"
"2019-20","Climate Emergency Action Alliance: Vote Planet","254 McLeod Lane","","MANSFIELD","VIC","3722","","550","0","0","0"
"2019-20","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","4358580","3808418","1949245","0"
"2019-20","Country Liberal Party (NT)","PO Box 4194","","DARWIN","NT","0801","","429768","605927","21198","0"
"2019-20","Democratic Labour Party","PO Box 678","","CIVIC SQUARE","ACT","2608","Democratic Labor Party","260","0","0","0"
"2019-20","Democratic Labour Party - Queensland Branch","PO Box 3086","","CHERMSIDE WEST","QLD","4032","Democratic Labor Party","3594","1510","0","0"
"2019-20","Democratic Labour Party - Victorian Branch","GPO Box 1402","","MELBOURNE","VIC","3001","Democratic Labor Party","67614","52184","0","0"
"2019-20","Democratic Labour Party - WA Branch","PO Box 1119","","WILLAGEE","WA","6156","Democratic Labor Party","240","500","0","0"
"2019-20","Democratic Labour Party NSW Branch","70 Liverpool Road","","BURWOOD  HEIGHTS","NSW","2136","Democratic Labor Party","2600","2165","0","0"
"2019-20","Derryn Hinch's Justice Party","PO Box 33018 LPO Domain","","MELBOURNE","VIC","3004","","88925","96292","0","0"
"2019-20","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","9229","3129","10633","0"
"2019-20","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","0","400","0","0"
"2019-20","Independents CAN","1/53 Stuart Street","","MULLUMBIMBY","NSW","2482","","7500","10936","0","0"
"2019-20","Informed Medical Options Party","PO Box 3322","","WEST KEMPSEY","NSW","2440","","23314","7440","32301","0"
"2019-20","Jacqui Lambie Network","PO Box 264","","Burnie","TAS","7320","","171273","123897","0","0"
"2019-20","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","425982","258006","16120","0"
"2019-20","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","98591","27812","0","0"
"2019-20","Liberal Democratic Party (ACT Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","404","0","0","0"
"2019-20","Liberal Democratic Party (NSW Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","3981","1501","0","0"
"2019-20","Liberal Democratic Party (QLD Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","3166","600","0","0"
"2019-20","Liberal Democratic Party (SA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","1","0","0","0"
"2019-20","Liberal Democratic Party (Victoria Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","303598","178619","0","0"
"2019-20","Liberal Democratic Party (WA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","0","3777","0","0"
"2019-20","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","10393589","10667314","65548","0"
"2019-20","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","3208879","2876043","64825","0"
"2019-20","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","13151626","10288063","1810326","1175577"
"2019-20","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","985081","1059138","0","0"
"2019-20","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","1934934","1814248","36715","0"
"2019-20","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","3067963","3010948","80161","0"
"2019-20","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","13443793","11637740","4435539","0"
"2019-20","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","10815404","11211513","3752913","0"
"2019-20","Love Australia or Leave","PO Box 10113","","RASMUSSEN","QLD","4815","","961","386","5000","0"
"2019-20","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","1765557","1312803","80723","0"
"2019-20","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","8066718","5623487","1035099","0"
"2019-20","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","1737290","1607020","780966","0"
"2019-20","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","4423","4012","0","0"
"2019-20","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","853577","456819","49623","0"
"2019-20","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","1","0","0","0"
"2019-20","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","10916","6500","95231","0"
"2019-20","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","5782105","3900452","241418","0"
"2019-20","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","4501","2762","0","0"
"2019-20","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","2832772","1626248","67927","0"
"2019-20","Reason Australia","PO Box 621","","COLLINS STREET WEST","VIC","8007","","100091","99955","8738","0"
"2019-20","Republican Party of Australia","PO Box 843","","CASTLE HILL","NSW","1765","","33164","32808","0","0"
"2019-20","Science Party","49 Harrington St","","ENMORE","NSW","2042","","16434","15624","0","0"
"2019-20","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","4215","4216","0","0"
"2019-20","Seniors United Party of Australia","D5 Broadlands Estate","9 Milpera Road","GREEN POINT","NSW","2251","","2579","2672","0","0"
"2019-20","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","187694","86367","30994","0"
"2019-20","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","71400","53164","228","0"
"2019-20","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","357992","352926","0","0"
"2019-20","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","428377","425451","0","0"
"2019-20","The Australian Greens - Victoria","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","4433586","4025816","53849","0"
"2019-20","The Australian Mental Health Party","PO Box 1505","","APPLECROSS","WA","6953","","800","297","0","0"
"2019-20","The Great Australian Party","PO Box 8242","","SOUTH PERTH","WA","6151","","224490","69158","10473","0"
"2019-20","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","1607810","523818","0","0"
"2019-20","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","5885309","2659643","146380","0"
"2019-20","The Small Business Party","Unit 204","2 York Street","SYDNEY","NSW","2000","","8000","5464","0","0"
"2019-20","The Together Party","PO Box 1085","","MULLUMBIMBY","NSW","2482","","0","0","20000","0"
"2019-20","The Women's Party","PO Box 5333","","EAST LISMORE","NSW","2480","","742","742","0","0"
"2019-20","Tim Storer Independent SA","118 Prospect Road","","PROSPECT","SA","5082","","0","0","0","0"
"2019-20","Transport Matters Party","PO Box 126","","CAULFIELD SOUTH","VIC","3162","","0","0","0","0"
"2019-20","United Australia Party","GPO Box 1538","","BRISBANE","QLD","4001","","10182222","6104878","11408","0"
"2019-20","Victorian Socialists","54 Victoria Street","","CARLTON SOUTH","VIC","3053","","49684","20684","0","0"
"2019-20","Voluntary Euthanasia Party","PO Box 4401","","HAWKER","ACT","2614","","486","4853","0","0"
"2019-20","VOTEFLUX.ORG | Upgrade Democracy!","5/155 Clarence St","","SYDNEY","NSW","2000","","9304","10021","0","0"
"2019-20","WESTERN AUSTRALIA PARTY","PO Box 8134","","SUBIACO","WA","6008","","9846","7257","52509","0"
"2019-20","Yellow Vest Australia","PO Box 290","","South Melbourne","VIC","3205","","2423","900","0","0"
"2018-19","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","1219469","1090964","35199","0"
"2018-19","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","27598","40819","15500","0"
"2018-19","Australian Affordable Housing Party","1/212 Liverpool Road","","ASHFIELD","NSW","2131","","4979","5320","0","0"
"2018-19","Australian Better Families","PO Box 3831","","ROBINA TOWN CENTRE","QLD","4230","","42756","65998","1000","0"
"2018-19","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","209211","214895","0","0"
"2018-19","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","1880326","1807432","1051068","0"
"2018-19","Australian Conservatives","CLF House, 28 King William Street","","KENT TOWN","SA","5067","","3621676","4588390","0","0"
"2018-19","Australian Conservatives (ACT)","28 King William Street","","KENT TOWN","SA","5067","","994","2977","0","0"
"2018-19","Australian Conservatives (NSW)","28 King William Street","","KENT TOWN","SA","5067","","241255","369205","0","0"
"2018-19","Australian Conservatives (NT)","28 King William Street","","KENT TOWN","SA","5067","","2003","2291","0","0"
"2018-19","Australian Conservatives (Qld)","28 King William Street","","KENT TOWN","SA","5067","","447142","557040","0","0"
"2018-19","Australian Conservatives (SA)","28 King William Street","","KENT TOWN","SA","5067","","103098","114888","0","0"
"2018-19","Australian Conservatives (Tas)","28 King William Street","","KENT TOWN","SA","5067","","21949","24227","0","0"
"2018-19","Australian Conservatives (Vic)","28 King William Street","","KENT TOWN","SA","5067","","549644","665838","0","0"
"2018-19","Australian Conservatives (WA)","28 King William Street","","KENT TOWN","SA","5067","","91098","93127","0","0"
"2018-19","Australian Democrats","PO Box 547","","GLENELG","SA","5045","","27782","30833","12575","0"
"2018-19","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","0","0","0","0"
"2018-19","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","5080607","4489151","1319691","295000"
"2018-19","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","1310043","733763","624036","0"
"2018-19","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","333456","554239","35077","0"
"2018-19","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","37719","79893","0","0"
"2018-19","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","585485","772348","26973","0"
"2018-19","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","1925988","1679653","36093","0"
"2018-19","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","49995144","50767513","1726794","1175000"
"2018-19","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","19545131","18153347","5105795","0"
"2018-19","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","593386","572503","24535","0"
"2018-19","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","2532077","2337149","213216","0"
"2018-19","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","10274492","9342246","377458","0"
"2018-19","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","1211881","873343","6562","0"
"2018-19","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","31263232","29109394","390753","0"
"2018-19","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","5163135","5550988","482375","0"
"2018-19","Australian People's Party","PO Box 5382","","PINEWOOD","VIC","3149","","0","0","0","0"
"2018-19","Australian Progressives","24B Harpur Place","","GARRAN","ACT","2605","","14790","12428","21290","0"
"2018-19","Australian Workers Party","P.O Box 4062","","WINMALEE","NSW","2777","","6570","6570","0","0"
"2018-19","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","395660","433537","22806","0"
"2018-19","Child Protection Party","PO Box 582","","ELIZABETH","SA","5112","","2633","3152","0","0"
"2018-19","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","624054","1507143","121393","0"
"2018-19","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","3755058","3372701","3831564","0"
"2018-19","Country Liberal Party (NT)","PO Box 4194","","DARWIN","NT","0801","","427622","591176","9100","10080"
"2018-19","Democratic Labour Party","PO Box 678","","CIVIC SQUARE","ACT","2608","Democratic Labor Party","0","0","0","0"
"2018-19","Democratic Labour Party - Queensland Branch","PO Box 3086","","CHERMSIDE WEST","QLD","4032","Democratic Labor Party","14383","15002","0","0"
"2018-19","Democratic Labour Party - Victorian Branch","GPO Box 1402","","MELBOURNE","VIC","3001","Democratic Labor Party","216259","163405","0","0"
"2018-19","Democratic Labour Party - WA Branch","PO Box 1119","","WILLAGEE","WA","6156","Democratic Labor Party","5000","3440","0","0"
"2018-19","Democratic Labour Party NSW Branch","70 Liverpool Road","","BURWOOD  HEIGHTS","NSW","2136","Democratic Labor Party","3140","3691","0","0"
"2018-19","Derryn Hinch's Justice Party","PO Box 33018 LPO Domain","","MELBOURNE","VIC","3004","","303659","411394","49834","0"
"2018-19","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","53410","73019","8633","0"
"2018-19","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","6079","28000","0","0"
"2018-19","Independents CAN","1/53 Stuart Street","","MULLUMBIMBY","NSW","2482","","64577","59660","0","0"
"2018-19","Informed Medical Options Party","PO Box 3322","","WEST KEMPSEY","NSW","2440","","16660","46258","39301","0"
"2018-19","Jacqui Lambie Network","PO Box 264","","Burnie","TAS","7320","","70117","60431","0","0"
"2018-19","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","514898","702762","167","0"
"2018-19","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","163088","245020","0","0"
"2018-19","Liberal Democratic Party (ACT Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","2586","8","0","0"
"2018-19","Liberal Democratic Party (NSW Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","30462","87151","0","0"
"2018-19","Liberal Democratic Party (QLD Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","1","1635","0","0"
"2018-19","Liberal Democratic Party (SA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","1","0","0","0"
"2018-19","Liberal Democratic Party (Victoria Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","413318","178132","0","0"
"2018-19","Liberal Democratic Party (WA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","45357","6879","0","0"
"2018-19","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","13172958","14673573","184845","0"
"2018-19","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","8249491","8727515","211677","0"
"2018-19","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","48031905","43537437","4039352","1247719"
"2018-19","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","954051","1088155","9217","0"
"2018-19","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","3384721","3575918","348461","0"
"2018-19","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","6182204","6839644","1486033","0"
"2018-19","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","36254141","32720536","9534597","0"
"2018-19","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","48899483","48364378","8413652","0"
"2018-19","Love Australia or Leave","PO Box 10113","","RASMUSSEN","QLD","4815","","3448","6153","7500","0"
"2018-19","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","3099872","3564952","121635","0"
"2018-19","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","9252955","11826869","2823790","0"
"2018-19","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","3121691","2654030","736772","0"
"2018-19","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","14370","17256","0","0"
"2018-19","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","625172","719591","37548","0"
"2018-19","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","201","0","0","0"
"2018-19","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","17870","12828","101231","0"
"2018-19","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","3023689","4042660","1732460","0"
"2018-19","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","15668","17060","17060","0"
"2018-19","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","1211326","1977426","10944","0"
"2018-19","Reason Australia","PO Box 621","","COLLINS STREET WEST","VIC","8007","","146587","116345","14176","0"
"2018-19","Republican Party of Australia","PO Box 843","","CASTLE HILL","NSW","1765","","41667","37193","0","0"
"2018-19","Rise Up Australia Party","PO Box 137","","HALLAM","VIC","3803","","126216","145094","0","0"
"2018-19","Science Party","49 Harrington St","","ENMORE","NSW","2042","","54356","55220","0","0"
"2018-19","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","10663","12537","0","0"
"2018-19","Seniors United Party of Australia","D5 Broadlands Estate","9 Milpera Road","GREEN POINT","NSW","2251","","8710","10817","0","0"
"2018-19","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","307032","297136","10080","0"
"2018-19","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","74280","83923","0","0"
"2018-19","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","388282","401305","0","0"
"2018-19","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","628072","503637","27887","0"
"2018-19","The Arts Party","PO Box 114","","KINGSFORD","NSW","2032","","6755","8672","0","0"
"2018-19","The Australian Greens - Victoria","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","6715057","6190688","2266053","0"
"2018-19","The Australian Mental Health Party","PO Box 1505","","APPLECROSS","WA","6953","","9341","8588","0","0"
"2018-19","The Great Australian Party","PO Box 8242","","SOUTH PERTH","WA","6151","","45130","15910","0","0"
"2018-19","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","953848","1434901","59026","0"
"2018-19","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","4199460","6987548","442693","0"
"2018-19","The Small Business Party","Unit 204","2 York Street","SYDNEY","NSW","2000","","0","0","0","0"
"2018-19","The Together Party","PO Box 1085","","MULLUMBIMBY","NSW","2482","","23522","39897","20000","0"
"2018-19","The Women's Party","PO Box 5333","","EAST LISMORE","NSW","2480","","100","0","0","0"
"2018-19","Tim Storer Independent SA","118 Prospect Road","","PROSPECT","SA","5082","","0","0","0","0"
"2018-19","United Australia Party","GPO Box 1538","","BRISBANE","QLD","4001","","89543375","89450146","8829343","0"
"2018-19","Victorian Socialists","54 Victoria Street","","CARLTON SOUTH","VIC","3053","","79564","78560","19569","0"
"2018-19","Voluntary Euthanasia Party","PO Box 4401","","HAWKER","ACT","2614","","17778","20914","0","0"
"2018-19","VOTEFLUX.ORG | Upgrade Democracy!","5/155 Clarence St","","SYDNEY","NSW","2000","","22312","14290","0","0"
"2018-19","WESTERN AUSTRALIA PARTY","PO Box 8134","","SUBIACO","WA","6008","","49109","43482","3560","0"
"2018-19","Yellow Vest Australia","PO Box 290","","South Melbourne","VIC","3205","","201397","208062","0","0"
"2017-18","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","472528","442333","22524","0"
"2017-18","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","13962","18759","0","0"
"2017-18","Australian Affordable Housing Party","1/212 Liverpool Road","","ASHFIELD","NSW","2131","","32189","3762","837","0"
"2017-18","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","221465","154086","0","0"
"2017-18","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","1767372","1692580","1052527","0"
"2017-18","Australian Conservatives","CLF House, 28 King William Street","","KENT TOWN","SA","5067","","1944164","1471749","10143","0"
"2017-18","Australian Conservatives (ACT)","28 King William Street","","KENT TOWN","SA","5067","","1983","0","0","0"
"2017-18","Australian Conservatives (NSW)","28 King William Street","","KENT TOWN","SA","5067","","128500","550","0","0"
"2017-18","Australian Conservatives (NT)","28 King William Street","","KENT TOWN","SA","5067","","288","0","0","0"
"2017-18","Australian Conservatives (Qld)","28 King William Street","","KENT TOWN","SA","5067","","126067","15570","0","0"
"2017-18","Australian Conservatives (SA)","28 King William Street","","KENT TOWN","SA","5067","","11790","0","0","0"
"2017-18","Australian Conservatives (Tas)","28 King William Street","","KENT TOWN","SA","5067","","2498","0","0","0"
"2017-18","Australian Conservatives (Vic)","28 King William Street","","KENT TOWN","SA","5067","","155107","36321","0","0"
"2017-18","Australian Conservatives (WA)","28 King William Street","","KENT TOWN","SA","5067","","5844","1187","0","0"
"2017-18","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","3624","14549","0","0"
"2017-18","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","2908021","2400224","457223","0"
"2017-18","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","602528","472998","209376","0"
"2017-18","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","187748","193217","7678","0"
"2017-18","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","19784","52493","0","0"
"2017-18","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","424806","547059","25935","0"
"2017-18","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","1675731","1445873","123497","0"
"2017-18","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","11560165","10099926","4201792","0"
"2017-18","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","7606590","6870413","1618213","0"
"2017-18","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","436540","403097","31202","0"
"2017-18","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","6388616","4914699","12395","0"
"2017-18","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","16664055","15908937","35609","0"
"2017-18","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","1128447","928050","43344","0"
"2017-18","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","8830836","6616436","413787","0"
"2017-18","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","4421200","3411097","627210","0"
"2017-18","Australian People's Party","PO Box 5382","","PINEWOOD","VIC","3149","","0","0","0","0"
"2017-18","Australian Progressives","24B Harpur Place","","GARRAN","ACT","2605","","5183","3855","21290","0"
"2017-18","Australian Workers Party","P.O Box 4062","","WINMALEE","NSW","2777","","1415","382","0","0"
"2017-18","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","125087","141712","5022","0"
"2017-18","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","852597","797193","78125","0"
"2017-18","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","1347443","842616","2502716","0"
